protoPayload.ip,protoPayload.startTime,protoPayload.endTime,protoPayload.latency,protoPayload.method,protoPayload.resource,protoPayload.httpVersion,protoPayload.status,protoPayload.host
185.97.127.116,2019-01-03T19:21:42.600290Z,2019-01-03T19:21:42.601189Z,0.000899s,GET,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:21:39.201543Z,2019-01-03T19:21:39.202633Z,0.001090s,GET,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:20:53.355290Z,2019-01-03T19:20:53.356243Z,0.000953s,POST,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:20:50.645852Z,2019-01-03T19:20:50.646772Z,0.000920s,POST,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:20:44.431819Z,2019-01-03T19:20:44.432713Z,0.000894s,POST,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:20:11.460755Z,2019-01-03T19:20:11.461585Z,0.000830s,POST,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:20:07.593926Z,2019-01-03T19:20:07.594722Z,0.000796s,POST,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:20:04.637093Z,2019-01-03T19:20:04.638269Z,0.001176s,POST,/composite,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:18:55.276574Z,2019-01-03T19:18:55.277498Z,0.000924s,POST,/customer/customer/100,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:18:39.884003Z,2019-01-03T19:18:39.885190Z,0.001187s,POST,/customer/customer/100,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:18:21.865311Z,2019-01-03T19:18:21.866459Z,0.001148s,POST,/customer/customer/100,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:17:10.427022Z,2019-01-03T19:17:10.427944Z,0.000922s,POST,/customer/customer/100,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:17:04.179405Z,2019-01-03T19:17:04.180076Z,0.000671s,POST,/customer/customer/88,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:16:58.829386Z,2019-01-03T19:16:58.830231Z,0.000845s,POST,/customer/customer/2,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:16:54.465653Z,2019-01-03T19:16:54.466557Z,0.000904s,POST,/customer/customer/2,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:16:08.222958Z,2019-01-03T19:16:08.223733Z,0.000775s,POST,/customer/customer,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:16:05.831450Z,2019-01-03T19:16:05.832337Z,0.000887s,POST,/customer/customer,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:16:04.680393Z,2019-01-03T19:16:04.681234Z,0.000841s,POST,/customer/customer,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:16:03.449305Z,2019-01-03T19:16:03.450092Z,0.000787s,POST,/customer/customer,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:15:59.102012Z,2019-01-03T19:15:59.103070Z,0.001058s,POST,/customer/customer,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:14:35.366697Z,2019-01-03T19:14:35.367804Z,0.001107s,GET,/customer/customer?name=Yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:14:01.288110Z,2019-01-03T19:14:01.288956Z,0.000846s,GET,/customer/customer?name=Yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:13:48.482674Z,2019-01-03T19:13:48.483989Z,0.001315s,GET,/customer/customer?name=Yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:11:45.312418Z,2019-01-03T19:11:45.313217Z,0.000799s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:11:41.038196Z,2019-01-03T19:11:41.039064Z,0.000868s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:11:39.232735Z,2019-01-03T19:11:39.233636Z,0.000901s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:11:11.813169Z,2019-01-03T19:11:11.823185Z,0.010016s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:06:18.906464Z,2019-01-03T19:06:18.907612Z,0.001148s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T19:01:47.696382Z,2019-01-03T19:01:52.712517Z,5.016135s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:59:58.293360Z,2019-01-03T18:59:58.302199Z,0.008839s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:58:26.320257Z,2019-01-03T18:58:26.321291Z,0.001034s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:58:20.892816Z,2019-01-03T18:58:20.893940Z,0.001124s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:57:48.264685Z,2019-01-03T18:57:48.265648Z,0.000963s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:57:19.469225Z,2019-01-03T18:57:19.477400Z,0.008175s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:56:18.505070Z,2019-01-03T18:56:18.506525Z,0.001455s,GET,/composite/Customer-direction?id=0&location=31.922428%2C35.208054&name=yara,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:55:14.780939Z,2019-01-03T18:55:14.782422Z,0.001483s,GET,/taxies/taxies-Direction-OfCustomer?CustomerLocation=32.80045%2C34.995066&TaxiLocation=31.783528%2C35.227093&id=10,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:54:13.037473Z,2019-01-03T18:54:13.038795Z,0.001322s,GET,/taxies/taxies-Direction-OfCustomer?CustomerLocation=32.80045%2C34.995066&TaxiLocation=31.783528%2C35.227093&id=10,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:52:54.509896Z,2019-01-03T18:52:54.511156Z,0.001260s,GET,/taxies/taxies-Direction-OfCustomer?CustomerLocation=32.80045%2C34.995066&TaxiLocation=31.783528%2C35.227093&id=10,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:52:28.548531Z,2019-01-03T18:52:28.603745Z,0.055214s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:45:29.204158Z,2019-01-03T18:45:29.212845Z,0.008687s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:44:17.033329Z,2019-01-03T18:44:23.448632Z,6.415303s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:40:47.266725Z,2019-01-03T18:40:47.267819Z,0.001094s,GET,/favicon.ico,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:40:35.310765Z,2019-01-03T18:40:46.848051Z,11.537286s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
185.97.127.116,2019-01-03T18:40:08.779579Z,2019-01-03T18:40:19.566217Z,10.786638s,GET,/,HTTP/1.1,404,palhotelapi.appspot.com
